abbreviate,לקצר
continent,יבשת
continue,להמשיך
contract,"חוזה, להתחייב בחוזה, לכווץ, לקצר"
contradict,לסתור
contradiction,סתירה
contrary,"מנוגד, הפוך, ההיפך"
contrast,"ניגוד, להנגיד, להשוות"
contribute,לתרום
contribution,תרומה
contributory,"תורם, מסייע"
convalesce,להחלים
convalescence,החלמה
conversation,שיחה
converse,"לשוחח, ההיפך, מנוגד"
conversion,"המרה, חזרה בתשובה"
convict,"אסיר בכלא, להרשיע"
conviction,"הרשעה, שכנוע עצמי"
convince,לשכנע
cooperate,לשתף פעולה
coordination,"תיאום, קואורדינציה"
copy,"להעתיק, עותק"
corner,פינה
corollary,"תוספת, תולדה"
correspond,"להיות תואם, להתכתב"
correspondence,"התאמה, התכתבות"
corresponding,תואם
corruption,שחיתות
cost,"לעלות , עלות"
cough,להשתעל
country,מדינה
course,"מסלול, דרך, לזרום"
creature,יצור
creed,עיקרי אמונה
creep,"להתגנב, לזחול"
crisis,משבר
critic,מבקר
critical,"מכריע, ביקורתי"
criticism,ביקורת
criticize,לבקר (להעביר ביקורת)
critique,מאמר ביקורת
crop,יבול
crowd,"קהל, המון, להתקהל"
crowded,צפוף
cruise,"הפלגה, שיט"
cucumber,מלפפון
culminate,להגיע לשיא
culture,תרבות
cumulative,מצטבר
cup,"כוס, ספל"
cupboard,ארון כלים
cure,תרופה
curl,"להסתלסל, להתכווץ"
current,"נוכחי, עכשווי, שוטף, זרם"
currently,כעת
curriculum,תוכנית לימודים
cut,לחתוך
cycle,"מחזור, גלגל, אופן, לרכוב על אופניים"
daily,יומי
damage,"נזק, להזיק, לגרום נזק"
data,נתונים (יחיד - datum)
date,"תאריך, פגישה, דייט"
daughter,בת
dawdle,להתבטל
dawn,"שחר, זריחה, לזרוח, להיעשות ברור"
de,facto הלכה למעשה (בניגוד ל- jure -על הנייר בלבד)
decade,עשור
deceit,"רמאות, הונאה"
declaration,הצהרה
declare,להצהיר
decline,"לסרב, לרדת, להדרדר, לשקוע, שקיעה ,מדרון"
deduce,"להסיק, להקיש (לוגית)"
deducible,ניתן להיקש
deduction,היקש (לוגי)
deed,מעשה
deep,עמוק
deer,"צבי, צבאים"
defamation,"השמצה, הכפשה"
defeat,"תבטסה, להביס"
defect,"פגם, לערוק"
defection,עריקה
defective,פגום
defend,להגן
defense,הגנה
defiance,"סירוב בתוקף, מרי"
defiant,סרבן
deficiency,"מחסור, גירעון"
deficient,"חסר, נטול משהו"
definite,"מוחלט, ברור, מדוייק, מוגדר, מוגבל"
definitely,בהחלט
definitive,סופי ומוחלט
defy,לסרב בתוקף
deliberate,"להרהר, לשקול אפשרויות, במכוון"
deliberately,בכוונה תחילה
deliberation,הרהור
deliberative,שנעשה בכוונה תחילה
deliver,למסור
demand,"לדרוש, דרישה"
demented,משוגע
demonstrate,"להפגין, להדגים"
demonstration,"הוכחה, הפגנה, הדגמה"
dense,צפוף
dentist,רופא שיניים
deny,"להכחיש, להימנע"
depart,"לפרוש, לצאת"
department,מחלקה
depict,"לצייר, לתאר"
depressed,מדוכא
derivation,"הוכחה (לוגית), הפקה"
derive,"להסיק (לוגית), להפיק"
desert,"לנטוש, מדבר"
desirable,"רצוי , נחשק"
desire,"להשתוקק, תשוקה"
desk,שולחן עבודה
despite,למרות
destination,יעד
destiny,"גורל, ייעוד"
destroy,להרוס
destruction,הרס
detail,פרט
detain,לעכב
detect,"לגלות, לאתר"
detection,מלאכת האיתור
detective,בלש
deter,"להרתיע, למנוע"
deteriorate,"להדרדר, להחמיר"
deterioration,הדרדרות
determination,"קביעה, נחישות"
determine,"להכריע, לקבוע, להחליט"
deterrent,"מעכב, מונע"
devastate,לזרוע חורבן
develop,"לפתח, להתפתח"
device,"כלי, מכשיר"
devise,להגות תוכנית
devote,"להקדיש, להתמסר"
devotion,התמסרות
differ,"לחלוק על..., להיות שונה, לא להסכים"
diffuse,"להתפשט לכל עבר, להתערבב, להפיץ, מבולבל, חסר סדר"
diffusion,תערובת
dig,לחפור
dilemma,"דילמה, התלבטות בין שתי ברירות"
dimension,"מידה, כמות, היקף, מימד"
diminish,להפחית
dinner,ארוחת ערב
dirty,מלוכלך
disabled,"בעל מוגבלות, נכה"
disadvantage,חיסרון
disappointment,אכזבה
disaster,אסון
disastrous,נוראי
discipline,"תחום (במדע), דיסציפלינה, למשמע, להשליט משמעת, לחנך, משמעת"
discover,לגלות
discovery,תגלית
discrepancy,"אי התאמה, העדר הסכמה"
discriminate,"להבחין, להפלות"
discuss,לדון
discussion,דיון
disease,מחלה
disinfect,לחטא
dispensable,"לא הכרחי, שניתן להסתדר בלעדיו"
displace,"לעקור ממקומו, להחליף את מקומו"
display,הצגה (לראווה)
dispose,"לארגן משהו, לזרוק, להיפטר מ..."
disqualify,"לפסול, לשלול"
disregard,להתעלם
distance,מרחק
distinct,"מיוחד, נפרד, ברור"
distinction,"ייחוד, אבחנה, , הצטיינות"
distinguish,"להבחין, להפריד"
distort,"לעוות, לסלף, לעקם"
distortion,עיוות
distract,להסיח דעת
distraction,"מסיח, הסחת דעת"
distribute,לחלק
distribution,"חלוקה, הפצה"
disturb,להפריע
divergence,"התפצלות, סטייה"
diverse,מגוון
diversify,לגוון
diversion,"פעילות לשעות הפנאי, פעולת הסחה"
do,לעשות
docile,"קל לשליטה, צייתן"
docility,"כניעות, צייתנות"
domestic,ביתי
dominate,"לשלוט, להיות דומיננטי"
donation,"מתנה, תרומה"
donkey,חמור
doom,"לדון מישהו, לגזור על מישהו, אסון, אבדון, יום הדין"
dote,"לחבב יתר על המידה, ""לחנוק באהבה"""
doubt,"להטיל ספק, ספק"
doubtful,מפוקפק
dozen,תריסר
drab,"חום-אפרפר, משעמם, ""אפור"""
drawing,ציור
dread,"לפחד, לחשוש, פחד, אימה"
drift,"להיסחף, לסחוף, סחף, מגמה"
drink,לשתות
drop,"להפיל, טיפה"
drug,סם
dry,יבש
dubious,מפוקפק
due,"חל, צפוי"
duplicate,לשכפל
durable,"מחזיק מעמד, מאריך ימים"
duty,חובה
dwindle,"להתמעט, להיעשות קטן ויותר, להתדלדל"
dynamic,"רב עוצמה, פעיל"
eager,להוט
early,מוקדם
ease,להקל
east,מזרח
eavesdrop,לצותת
eclectic,"אוסף ""מפה ומשם"""
eclipse,ליקוי
editor,עורך
effect,השפעה
efficiency,יעילות
efficient,יעיל
effort,מאמץ
elaborate,"מתוכנן, עשוי בקפידה, להרחיב, לפרט"
elderly,"זקן, מבוגר מ..."
elevator,מעלית
eliminate,לפסול
elsewhere,במקום אחר
embarrass,להביך
embarrassing,מביך
embassy,שגרירות
embrace,"לחבק,חיבוק, לקבל, לכלול"
emerge,להופיע בהדרגה
emergence,"הופעה הדרגתית, היווצרות"
emergent,"ההולך ומתגבש, שזה עתה נוצר"
emigrate,להגר
emigration,הגירה
eminence,חשיבות
eminent,דגול
emotion,רגש
emphasize,להדגיש
employ,"להעסיק, להשתמש"
employment,תעסוקה
empty,ריק
enable,לאפשר
encompass,"לכלול, להקיף"
encounter,מפגש
encourage,לעודד
endeavor,"להתאמץ, לשאוף בחוזקה, ניסיון, מאמץ"
enfeeble,להחליש
engage,"להעסיק, ליטול התחייבות"
engagement,"העסקה, התחייבות, אירוסין"
engineer,מהנדס
enhance,"להגביר, להעצים"
enjoy,להנות
enlist,לגייס
enormous,"ענק, עצום"
ensure,להבטיח שמשהו יקרה
enter,להיכנס
enthusiasm,התלהבות
entire,"שלם, כולל"
entwine,"לשלב, לקלוע, לשזור"
epilogue,אחרית דבר
equality,שוויון
equipment,ציוד
equivalent,שווה ערך
equivocal,שאינו חד משמעי
era,עידן
erroneous,שגוי
erudition,השכלה עצומה
erupt,להתפרץ (בעיקר הר געש)
eruption,התפרצות
escaped,לברוח
essence,מהות
essential,"חיוני, מהותי"
establish,"לייסד, ליישב, להתיישב"
establishment,מוסד
estimate,"להעריך, הערכה"
eulogize,לפאר ולשבח
eulogy,"הספד, יצירה שנועדה לפאר ולשבח"
even,"חלק, לא מחוספס, מישורי, זוגי, שווה בשווה, שווה בשווה"
even though," למרות, אף על פי כן"
evenly,באופן שווה
event,אירוע
eventual,משהו שמגיע כתוצאה של משהו אחר
eventually,וככלות הכל
evidence,ראיות
evil,"רע, מרושע"
evolution,התפתחות
evolve,להתפתח
exaggeration,הגזמה
examination,בחינה
examine,לבחון
excavate,לחשוף באמצעות חפירה
excavation,חפירה
excellent,מצויין
except,"להוציא מהכלל, לא לקבל"
exception,"יוצא דופן, יוצא מהכלל"
exchange,"להחליף דבר בדבר, החלפת דבר בדבר"
exciting,"מרגש, מעורר"
exhaust,"להתיש, לעייף, אגזוז"
exhibit,"להציג, מוצג"
expand,"להתפשט, להתרחב"
expanse,שטח רחב ופתוח
expansion,"התפשטות, התרחבות"
expedition,"מסע, משלחת חקר"
expend,לבזבז
expenditure,"הוצאה, בזבוז, הוצאה"
expense,הוצאה
expensive,יקר
experiment,ניסוי
explain,להסביר
explanation,הסבר
explicit,"מפורש, מפורט"
explode,להתפוצץ
exploit,"מבצע נועז, לנצל, להשתמש"
explore,לחקור
explosion,פיצוץ
export,לייצא
express,"מוצג בצורה בהירה, מהיר, לבטא"
expression,ביטוי
extend,"להתרחב, להימשך"
extension,"הרחבה, הארכה"
extensive,נרחב
extent,"היקף, שיעור, מידה"
external,חיצוני
extinct,נכחד
extreme,"מידה קיצונית, קיצוני"
extremely,מאד
extremist,דוגל בצעדים קיצוניים
eyes shut, עיניים עצומות
face,פנים
facilitate,"לסייע בעשיית דבר מה, לאפשר"
facility,"יכולת לעשות דברים בקלות, אמצעי, שירות"
fact,עובדה
factor,גורם
factory,מפעל
fallacious,מטעה
fallacy,רעיון מטעה
FALSE,"כוזב, מזוייף"
falsehood,שקר
fame,תהילה
familiar,"מכיר היטב, מקרוב, מוכר היטב, מקרוב"
family,משפחה
famous,מפורסם
fascinate,להקסים
fascination,"משיכה, קסם"
fashion,אופנה
fastidious,"דקדקן, אנין טעם, בררן"
fault,אשמה
fauna,עולם החי
favorite,מועדף
feast,"משתה, לזלול"
feature,"מאפיין, תכונה, להופיע"
feel,להרגיש
fetus,עובר
fiasco,כשלון חרוץ
figurative,"מוחשי (ציור), ציורי (ספרות)"
figure,"צורה, איור, דמות, פיגורה, לדמיין, לדמיין"
final,סופי
find,למצוא
firm,"מוצק, חברה, פירמה"
first aid, עזרה ראשונה
flagrant,"בוטה, מזעזע"
flat,"דירה, שטוח"
flex,למתוח שריר
flexibility,גמישות
flexible,גמיש
flight,"טיסה, בריחה, מנוסה"
flood,"שיטפון, הצפה, להציף, לעלות על גדותיו"
flourish,"לשגשג, לפרוח"
fly,לטוס
foe,אויב
fond,"לחבב, מחבב"
foot,"רגל, מידה שאורכה כ-30 ס""מ"
for instance," לדוגמא, למשל"
force,"להכריח, כוח"
foresee,לחזות מראש
foreseeable,שניתן לחזותו מראש
forge,"לעצב, ליצור, לחשל, לזייף"
forget,לשכוח
formation,"תצורה, מבנה"
former,הקודם
former/latter,"הראשון, האחרון (על פי סדר ציונם במשפט)"
formidable,"חזק, נאדר, מאיים, מפחיד"
fortnight,שבועיים
found,לייסד
foundation,קרן
foundations,יסודות
founder,מייסד
fraction,"חלק קטן, שבר"
fracture,"לשבור, שבר"
freedom,חופש
frequency,"שכיחות, תדירות"
frequent,"לבקר (לעיתים קרובות), תכוף, תדיר"
frequently,לעיתים תכופות
fresh,טרי
fringe,שוליים
frivolous,"קל דעת, טפשי"
fruit,"פרי, פירות"
fruitful,"נושא פרי, פורה"
frustrate,לתסכל
frustration,תסכול
fugitive,פליט
fulfill,"להשלים, להשיג מטרה"
full,מלא
function,"תכלית, תפקיד, פונקציה (במתמטיקה), לתפקד"
fund,"קרן (כספית או של משאבים אחרים), לממן"
fundamental,"בסיסי, יסודי"
fundamentalist,"מאמין בתורה שבכתב, בלי פרשנויות"
furnish,לרהט
furniture,"ריהוט, רהיטים"
futile,"עקר, חסר ערך"
gain,"להרוויח, רווח"
gap,"פער, רווח"
garbage,זבל
garment,בגד
gather,"להיאסף, לאסוף"
gender,מגדר (זכר - נקבה)
general,כללי
generate,לייצר
generous,נדיב
genesis,"בראשית, היווצרות"
genuine,"אמיתי, לא מזוייף"
gesture,"תנועת יד, מחווה"
ghost,רוח רפאים
give rise to," להתחיל, לגרום ל..."
glass,"זכוכית, כוס"
glasses,משקפיים
glimpse,"מבט חטוף, הצצה"
glory,תהילה
go,ללכת
goal,"שאיפה, מטרה, יעד"
goods,סחורה
gossip,"לרכל, רכילות"
govern,לשלוט
government,ממשלה
grace,"חן, קסם"
gracious,"חינני, מקסים"
gradually,בהדרגה
gratitude,הכרת תודה
gray,אפור
grief,"צער, יגון"
grim,"עצוב, רציני, קשה, חמור"
grind,לטחון
groom,"לטפח, חתן"
ground,"קרקע, לבסס, לקרקע"
guess,"לנחש, ניחוש"
guilty,אשם
habit,הרגל
handicapped,"מוגבל, נכה"
handsome,"נאה, יפה, נאה, נכבד"
harmful,מזיק
harmless,לא מזיק
harvest,"קציר, לקצור"
haste,חיפזון
have,יש לי
health,בריאות
hearsay,שמועה
heart,לב
heartfelt,"כן, רציני, יוצא מהלב"
heartless,"אכזר, קשה לב"
heart-rending,קורע לב
heartthrob,פעימת לב
heavy,כבד
hereditary,תורשתי
heredity,תורשה
heresy,כפירה
heretic,כופר
heritage,מורשת
hero,גיבור
hide,להתחבא
hit,להכות
hitherto,"עד כה, נכון לעכשיו"
hold,להחזיק
horrible,איום ונורא
horrify,להפחיד
horror,אימה
hospitable,מסביר פנים
hospital,בית חולים
hostile,עוין
hour,שעה
however,"אולם, אבל, יחד עם זאת"
huge,"ענק, עצום"
human,אנושי
hungry,רעב
hunt,לצוד
husband,בעל
hybrid,בן כלאיים
hypocrisy,צביעות
hypothesis,השערה
ice,קרח
identify,לזהות
identity,זהות
idle,"ללא מעש, בבטלה, עצלן, בטלן, חסר מעש"
ignite,להצית
ignore,להתעלם
illness,מחלה
illusion,אשליה
illusive,"מטעה, מתעתע"
illusory,"מטעה, חמקמק"
image,"דמות, דימוי, דבר מה דומה"
imagine,"להעלות על הדעת, לדמיין"
immediate,מיידי
immediately,מיד
immense,עצום
immensely,במידה רבה
imminent,"צפוי להתרחש ""או-טו-טו"""
immune,מחוסן
impact,"כוח הדף, השפעה, רושם"
impartial,"ניטרלי, הוגן, בלתי משוחד, ללא משוא פנים"
impartiality,"ניטרליות, הגינות"
implant,"להטביע, לקבוע באופן עמוק"
implicate,לערב
implication,"רמז, להיות מעורב"
implicit,"מרומז, משתמע, מוחלט"
imply,לרמז
import,לייבא
impose,להטיל
impossible,בלתי אפשרי
impregnable,"בלתי מנוצח, שאין להכניעו"
imprison,לכלוא
improve,לשפר
impulse,דחף בלתי נשלט
in addition, בנוסף
in spite of, למרות
in vain, לשווא
inaccurate,לא מדוייק
incident,תקרית
incline,לנטות
inclined,נוטה
increase,"גידול, לגדול"
indicate,לציין
indifferent,"חסר עניין, אדיש"
individual,"יחיד, פרט"
induce,לגרום
industry,תעשייה
inevitable,בלתי נמנע
inferior,נחות
influence,השפעה
inform,להודיע
information,מידע
ingenious,גאוני
ingredient,"מרכיב, רכיב"
inherent,שטבוע במהות הדבר
initial,"התחלתי, ראשוני, האות הראשונה שלמילה - ראשי תיבות"
injury,פציעה
insect,חרק
insight,"תובנה, הבנה עמוקה"
insist,להתעקש
insistence,עקשנות
inspect,"לפקח, לבדוק בדקדקנות"
inspection,"בדיקה, פיקוח"
inspector,מפקח
inspiration,השראה
inspire,להעניק השראה
instant,"רגע, מיידי"
instantaneous,מיידי
instigate,להסית
institute,"מוסד, ארגון, לייסד, לארגן"
institution,מוסד \ ארגון
insulation,בידוד
insuperable,שלא ניתן לגבור עליו
insurance,ביטוח
intact,"שלם, ללא פגע"
intense,"ניכר, רב עצמה, מעמיק, עז, אינטנסיבי"
intensity,"עצמה ניכרת, העמקה"
intensive,"מעמיק, רב עצמה"
intent,"מתעקש, רוצה מאד, כוונה"
interest,"עניין, ריבית, להתעניין"
interesting,מעניין
interim,זמני
intermission,הפסקה
internal,פנימי
interpret,"לפרש, לתרגם"
interpretation,פרשנות
interpreter,"פרשן, מתורגמן"
interval,מרווח
interview,"ראיון, לראיין"
introduce,"להציג, לערוך היכרות"
invariable,"קבוע, שאינו משתנה"
invent,להמציא
invention,המצאה
invest,להשקיע
investigate,לחקור
investment,השקעה
invite,להזמין
involve,לערב
involved,מעורב
island,אי
isolate,לבודד
issue,"להנפיק, להוציא לאור, לצאת, סוגייה, נושא, גליון, מהדורה"
item,פריט
jest,מהתלה
jester,ליצן חצר
join,"להצטרף, לצרף דבר לדבר"
joke,בדיחה
journalism,עיתונות
journey,מסע
junction,צומת
juncture,הצטלבות (בזמן)
jury,חבר מושבעים
justify,להצדיק
juvenile,"צעיר, של נוער, קטין"
juxtapose,להציב זה לצד זה
keen,"חד, שואף מאד לדבר מה"
kernel,גלעין
kid,ילד/ה
kind,"נחמד, חביב"
kind of, סוג של
kindle,להבעיר
kingdom,ממלכה
kitchen,מטבח
knight,אביר
knot,קשר
knowledge,ידע
lack,"מחסור, להיות חסר"
languish,"הולך ונחלש, נוטה לאפיסת כוחות"
languor,"חולשה, אפיסת כוחות"
last,"אחרון, להאריך ימים"
lazy,עצלן
lead,להוביל
learn,ללמוד
leave,לעזוב
lecture,"להרצות, הרצאה"
legislate,לחוקק
legislation,חקיקה
legitimate,"לגיטימי, בעל תוקף חוקי או חברתי"
leisure,פנאי
leopard,"פנתר, נמר"
let,"להתיר, לשכור, להשכיר"
liable,"אחראי, מחוייב"
liberty,חירות
license,רישיון
lie,"שקר, לשקר, לשכב"
lifelong,"לכל החיים, לכל משך החיים"
likely,מתקבל על הדעת
limit,"להגביל, גבול, קצה"
limitation,מגבלה
linger,להשתהות
link,"קשר, חיבור, זיקה, לקשר"
literal,מילולי
living room, סלון
loath,לתעב
local,מקומי
locate,לאתר
loose,רפוי
lucid,צלול בדעתו
luck,מזל
luminous,"זוהר, בוהק, מאיר"
lunch,ארוחת צהריים
luxury,מותרות
machine,מכונה
magnitude,"חשיבות, משמעות, גודל או שיעור מסויים"
main,"עיקרי, מרכזי, החשוב ביותר"
mainly,בעיקר
maintain,"להמשיך במשהו; לשמור משהו קיים, לתחזק, לשמור במצב טוב, לפרנס"
maintenance,תחזוקה
major,"החשוב יותר, העיקרי, בצבא: מקביל לרס""ן בצה""ל"
make,"לעשות, להכין"
malice,רוע
malignant,ממאיר
mammal,יונק
man,"גבר, לאייש"
manage,"להסתדר, לנהל עניינים"
mandatory,חובה
